station_id,lat,lng,elevation_m,state,station_name,city
US10adam057,40.6607,-98.5535,616.0,NE,PROSSER 2.2 SE,Prosser
US10chas025,40.4213,-101.7182,1015.9,NE,CHAMPION 3.7 SSE,Champion
US10chey064,41.2077,-103.2092,1330.1,NE,POTTER 5.6 E,Potter
US10chey065,41.1936,-102.9917,1330.1,NE,SIDNEY 3.6 NNW,Sidney
US10doug035,41.269,-96.116,385.6,NE,OMAHA 9.3 W,Omaha
US10doug036,41.3114,-96.1412,378.0,NE,OMAHA 11.2 WNW,Omaha
US10fran006,40.2623,-99.1075,679.1,NE,HILDRETH 6.1 SW,Hildreth
US10furn022,40.3083,-99.9056,719.9,NE,ARAPAHOE 0.4 NW,Arapahoe
US10holt024,42.7982,-98.6506,630.0,NE,SPENCER 5.9 SE,Spencer
US10jeff005,40.1518,-97.3339,463.9,NE,FAIRBURY 8.1 W,Fairbury
US10nuck011,40.2049,-98.2053,572.1,NE,LAWRENCE 6.7 SSE,Lawrence
US10sali007,40.5891,-97.2546,454.2,NE,FRIEND 4.8 SSE,Friend
US1AKAB0021,61.3122,-149.4958,243.5,AK,EAGLE RIVER 2.6 ESE,Eagle
US1AKAB0038,61.2272,-149.4401,657.1,AK,EAGLE RIVER 7.8 SE,Eagle
US1AKAB0051,61.213,-149.7649,68.3,AK,ANCHORAGE 4.5 E,Anchorage
US1AKAB0052,61.1529,-149.9346,35.4,AK,ANCHORAGE 4.7 SSW,Anchorage
US1AKAB0060,61.1888,-149.9153,27.1,AK,ANCHORAGE 2.1 SSW,Anchorage
US1AKAB0062,61.1138,-149.7768,206.0,AK,ANCHORAGE 8.3 SSE,Anchorage
US1AKAB0064,61.4185,-149.4495,102.7,AK,CHUGIAK 2.4 NE,Chugiak
US1AKAB0065,61.1502,-149.9593,27.7,AK,ANCHORAGE 5.1 SSW,Anchorage
US1AKAB0076,61.2938,-149.4068,267.3,AK,EAGLE RIVER 5.9 ESE,Eagle
US1AKAB0081,61.2703,-149.4745,438.6,AK,EAGLE RIVER 5.1 SE,Eagle
US1AKBC0004,61.7025,-157.1699,62.5,AK,SLEETMUTE 1.4 SSE,Sleetmute
US1AKFN0011,64.8933,-147.4436,245.1,AK,FAIRBANKS 7.2 ENE,Fairbanks
US1AKFN0015,64.9186,-147.6304,303.6,AK,FAIRBANKS 5.7 N,Fairbanks
US1AKFN0016,64.8447,-147.7973,133.5,AK,FAIRBANKS 4.4 W,Fairbanks
US1AKFN0032,64.8399,-147.8639,138.7,AK,FAIRBANKS 6.3 W,Fairbanks
US1AKFN0035,64.9243,-148.2586,498.0,AK,FAIRBANKS 18.9 WNW,Fairbanks
US1AKFN0038,64.9509,-148.2157,420.3,AK,FAIRBANKS 18.4 WNW,Fairbanks
US1AKFN0039,68.6266,-149.5945,731.5,AK,ANAKTUVUK PASS 63.8 NE,Anaktuvuk
US1AKFN0044,64.9173,-147.703,379.5,AK,FOX 3.8 SW,Fox
US1AKFN0047,64.9269,-147.6502,274.0,AK,FAIRBANKS 6.2 N,Fairbanks
US1AKHB0002,59.2473,-135.4333,113.1,AK,HAINES 0.5 NNE,Haines
US1AKHB0003,59.2444,-135.4406,104.9,AK,HAINES 0.3 N,Haines
US1AKHB0008,59.2422,-135.4592,42.1,AK,HAINES 0.7 W,Haines
US1AKJB0011,58.3568,-134.5313,17.7,AK,JUNEAU 5.6 NW,Juneau
US1AKJB0016,58.4339,-134.7657,14.0,AK,JUNEAU 15.7 NW,Juneau
US1AKJB0017,58.441,-134.77,59.1,AK,JUNEAU 23.3 W,Juneau
US1AKJB0019,58.2796,-134.3975,11.3,AK,JUNEAU 12.2 SW,Juneau
US1AKKP0006,60.4809,-150.9986,29.9,AK,SOLDOTNA 2.3 ESE,Soldotna
US1AKKP0007,60.4944,-150.7842,88.4,AK,SOLDOTNA 9.5 E,Soldotna
US1AKMS0012,62.2272,-150.0731,116.7,AK,TALKEETNA 7.6 S,Talkeetna
US1AKMS0014,61.6058,-149.5233,150.3,AK,WASILLA 2.7 NW,Wasilla
US1AKMS0015,61.6162,-149.6277,103.9,AK,MEADOW LAKES 1.0 WSW,Meadow
US1AKMS0019,62.1329,-150.5371,111.6,AK,TRAPPER CREEK 8.5 SSW,Trapper
US1AKMS0021,61.5573,-149.3078,70.7,AK,PALMER 7.1 WSW,Palmer
US1AKMS0022,61.7859,-148.5293,314.9,AK,CHICKALOON 1.7 WSW,Chickaloon
US1AKMS0025,61.5678,-149.1616,39.3,AK,PALMER 2.7 SW,Palmer
US1AKMS0026,62.2806,-150.4223,129.2,AK,TRAPPER CREEK 2.2 N,Trapper
US1AKMS0030,61.6275,-149.1616,139.3,AK,PALMER 2.6 NW,Palmer
US1AKPW0001,55.9553,-133.6178,-999.9,AK,EDNA BAY 1.3 E,Edna
US1AKPW0009,55.68,-132.518,22.9,AK,THORNE BAY 0.6 S,Thorne
US1AKPW0011,55.1182,-131.5761,35.4,AK,METLAKATLA 0.5 SSE,Metlakatla
US1AKPW0013,55.0464,-131.5857,32.0,AK,METLAKATLA 5.4 S,Metlakatla
US1AKSF0006,63.9629,-145.4806,381.6,AK,DELTA JUNCTION 9.8 SE,Delta
US1AKVC0006,62.9394,-145.5172,791.0,AK,PAXSON 10.8 SSE,Paxson
US1AKVC0008,62.1139,-145.5256,445.6,AK,GLENNALLEN 3.2 NE,Glennallen
US1AKWP0007,56.4626,-132.3756,23.2,AK,WRANGELL 8.0 NNW,Wrangell
US1AKYK0001,59.537,-139.7032,17.1,AK,YAKUTAT 2.5 SE,Yakutat
US1ALAT0013,32.6444,-86.4302,268.2,AL,DEATSVILLE 3.4 NW,Deatsville
US1ALAT0022,32.4824,-86.5252,75.3,AL,PRATTVILLE 4.8 WNW,Prattville
US1ALBB0008,32.9878,-87.0882,113.7,AL,CENTREVILLE 3.3 NE,Centreville
US1ALBL0005,33.8029,-86.5601,326.1,AL,SPRINGVILLE 5.3 WNW,Springville
US1ALBL0009,33.9416,-86.4555,282.9,AL,ONEONTA 0.9 SE,Oneonta
